picture_id,SMILES,url,paper_id
12c781bd-6a10-470e-8a5d-0b89eef004eb,CCCC(C(C)C)O[C@@H]1C(C(=O)[C@H](C(O1)C)O)O,/user/mahaohui/IMG2SMILES/collect_NCBI/example_pictures/d5c101015af16097dd7a/segments/page_6_bnw_0.png,d5c101015af16097dd7a
1b3ce284-e941-45ce-81b5-18c9da127f32,CC1=C(C(=C(C=N1)COP(=O)(O)O)C[N+](=[R]([H])[C@@H](C(=O)[O-])[R])C)[O-],/user/mahaohui/IMG2SMILES/collect_NCBI/example_pictures/d5c101015af16097dd7a/segments/page_5_bnw_7.png,d5c101015af16097dd7a
6304ed15-3e81-4abe-999b-1b1e328b3302,C([C@@](C(=O)[O-])(N)[R])(F)(F)F,/user/mahaohui/IMG2SMILES/collect_NCBI/example_pictures/d5c101015af16097dd7a/segments/page_5_bnw_5.png,d5c101015af16097dd7a
79492d3c-e709-42c3-a6c3-ebcc8c599ab2,COC1=C(C(=C(C=[NH+]1)COP(=O)(C)C)CN)[O-],/user/mahaohui/IMG2SMILES/collect_NCBI/example_pictures/d5c101015af16097dd7a/segments/page_5_bnw_6.png,d5c101015af16097dd7a
3d8f819e-88d7-4e74-8011-393014d99852,CC1([C@@H]2CC([C@@H](O1)OCC3=CC=CC=C3)O)C,/user/mahaohui/IMG2SMILES/collect_NCBI/example_pictures/d5c101015af16097dd7a/segments/page_8_bnw_0.png,d5c101015af16097dd7a
cf3516bd-94cb-4508-9576-668aebc64741,CC1=C(C(=C(C=N1)COP(=O)(I)I)C=[N+]([H])S(=O)(=O)C)[O-],/user/mahaohui/IMG2SMILES/collect_NCBI/example_pictures/d5c101015af16097dd7a/segments/page_5_bnw_2.png,d5c101015af16097dd7a
23b49bf8-a877-4ee5-b609-d519e3d5217a,CC1C(C[C@@H](O1)O)(C)[N+](=O)[O-],/user/mahaohui/IMG2SMILES/collect_NCBI/example_pictures/d5c101015af16097dd7a/segments/page_3_bnw_5.png,d5c101015af16097dd7a
706d11c7-a57e-4ac6-9224-76fa56e30d20,CC1([C@H](C(O[C@@H](C1)O)(C)C)OC)[N+](=O)[O-],/user/mahaohui/IMG2SMILES/collect_NCBI/example_pictures/d5c101015af16097dd7a/segments/page_3_bnw_6.png,d5c101015af16097dd7a
5f7b6cd2-7f63-4159-bdda-509c223f818f,C1=CN(C(=O)NC1=O)[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O,/user/mahaohui/IMG2SMILES/collect_NCBI/example_pictures/d5c101015af16097dd7a/segments/page_12_bnw_5.png,d5c101015af16097dd7a
0c5ff95e-6dbb-4c19-8503-d0ebfd24e03d,CC1=C(C(=C(C=N1)COP(=O)(O)O)C([N+](=[X]([H])[H])[S-])N([C@@]([H])(C(=O)[O-])[R])[S](=O)(=O)C)[O-],/user/mahaohui/IMG2SMILES/collect_NCBI/example_pictures/d5c101015af16097dd7a/segments/page_5_bnw_9.png,d5c101015af16097dd7a
